items,p1,p2,p3,p1f,p2f,p3f,chi2a,chi2b,chi2c
jxvt,0.44,0.53,0.5,14.08,16.96,16,0.4890566037735852,0.0576000000000001,0.2304
tvj,0.56,0.28,0.65625,17.92,8.96,21,8.96,6.9029333333333325,0.4517333333333328
vjjxvt,0.81,0.34,0.46875,25.92,10.88,15,20.79058823529412,1.1316266666666661,7.949760000000002
vjtv,0.28,0.94,0.34375,8.96,30.08,11,14.828936170212762,33.09512727272727,0.3783272727272724
vjtvt,0.78,0.91,0.65625,24.96,29.12,21,0.5942857142857143,3.139733333333334,0.7467428571428575
vjtxvx,0.56,0.53,0.375,17.92,16.96,12,0.05433962264150953,2.050133333333334,2.920533333333335
vtv,0.28,0.66,0.375,8.96,21.12,12,7.001212121212121,6.931200000000001,0.7701333333333329
vtvj,0.5,0.44,0.65625,16,14.08,21,0.2618181818181818,2.280304761904762,1.1904761904761905
vtvjj,0.59,0.09,0.5,18.88,2.88,16,88.88888888888889,10.758400000000002,0.5183999999999996
vx,0.59,0.72,0.65625,18.88,23.04,21,0.7511111111111112,0.1981714285714284,0.21401904761904783
vxj,0.66,0.41,0.46875,21.12,13.12,15,4.878048780487807,0.23562666666666685,2.496960000000001
vxjjx,0.47,0.09,0.46875,15.04,2.88,15,51.342222222222226,9.79296,0.00010666666666666211
vxjtj,0.38,0.25,0.53125,12.16,8,17,2.1632000000000002,4.764705882352941,1.3779764705882354
vxvj,0.78,0.78,0.625,24.96,24.96,20,0,1.2300800000000005,1.2300800000000005
xjj,0.34,0.34,0.4375,10.88,10.88,14,0,0.6953142857142854,0.6953142857142854
xvjtvt,0.5,0.56,0.625,16,17.92,20,0.20571428571428607,0.21631999999999962,0.8
xvjtvx,0.53,0.41,0.53125,16.96,13.12,17,1.1239024390243912,0.885552941176471,9.411764705881951e-05
xvtv,0.53,0.69,0.59375,16.96,22.08,19,1.187246376811593,0.4992842105263152,0.21903157894736824
xvtvj,0.72,0.75,0.59375,23.04,24,19,0.038400000000000066,1.3157894736842106,0.859031578947368
xvtvjj,0.78,0.34,0.65625,24.96,10.88,21,18.221176470588233,4.87687619047619,0.7467428571428575
xvxt,0.19,0.69,0.625,6.08,22.08,20,11.594202898550723,0.21631999999999962,9.688320000000001
xvxv,0.53,0.38,0.5,16.96,12.16,16,1.8947368421052637,0.9216,0.0576000000000001
xvxvj,0.66,0.34,0.59375,21.12,10.88,19,9.637647058823529,3.4702315789473674,0.23654736842105284
xxjj,0.47,0.53,0.3125,15.04,16.96,10,0.21735849056603812,4.844160000000001,2.5401599999999993
xxtx,0.25,0.22,0.40625,8,7.04,13,0.1309090909090909,2.732430769230769,1.9230769230769231
xxv,0.38,0.81,0.5625,12.16,25.92,18,7.304691358024693,3.4848000000000017,1.8947555555555553
xxvjjj,0.94,0.69,0.53125,30.08,22.08,17,2.8985507246376816,1.5180235294117637,10.06390588235294
xxvtv,0.63,0.94,0.6875,20.16,30.08,22,3.271489361702127,2.9675636363636353,0.15389090909090905
xxvtvj,0.75,0.81,0.71875,24,25.92,23,0.14222222222222247,0.3707130434782613,0.043478260869565216
xxvvjj,0.59,0.31,0.28125,18.88,9.92,9,8.09290322580645,0.09404444444444443,10.846044444444441
xxvxj,0.97,0.88,0.8125,31.04,28.16,26,0.29454545454545433,0.17944615384615387,0.976984615384615
